"","recog_resp.keys","recog_resp.rt","conf_resp.keys","conf_resp.rt","images","type","corr_ans"
"118","right",1.1637,2,1.248,"stimuli/objects/blender.jpg","new","right"
"119","right",1.9371,3,0.3206,"stimuli/objects/outletadapter.jpg","new","right"
"120","left",1.2077,3,0.7081,"stimuli/objects/surfboard.jpg","old","left"
"121","right",1.5437,2,5.8546,"stimuli/objects/avcable.jpg","old","left"
"122","right",12.5125,3,0.5803,"stimuli/objects/remotecontrol04.jpg","old","left"
"123","left",4.7663,1,1.2606,"stimuli/objects/cassettetape01a.jpg","new","right"
"124","right",2.1188,1,1.1651,"stimuli/objects/cork02.jpg","new","right"
"125","left",3.2639,1,0.3743,"stimuli/objects/charcoalbarbecue.jpg","old","left"
"126","right",2.6523,4,1.3265,"stimuli/objects/canister.jpg","old","left"
"127","right",12.5724,2,0.8655,"stimuli/objects/icecubetray01a.jpg","new","right"
"128","right",17.2801,2,1.9113,"stimuli/objects/muffintray01.jpg","old","left"
"129","right",1.4143,2,0.3013,"stimuli/objects/hockeygoaliepad.jpg","new","right"
"130","right",1.6872,2,1.0343,"stimuli/objects/photocopier.jpg","old","left"
"131","right",1.2246,4,2.3935,"stimuli/objects/saltshaker03a.jpg","old","left"
"132","right",4.3345,3,0.5406,"stimuli/objects/jug.jpg","new","right"
"133","left",2.6081,3,0.1436,"stimuli/objects/payphone.jpg","old","left"
"134","right",2.0841,2,1.0237,"stimuli/objects/satellitedish01.jpg","new","right"
"135","right",2.4112,2,0.3496,"stimuli/objects/cellphone.jpg","new","right"
"136","right",0.8992,2,1.104,"stimuli/objects/lightbulb01.jpg","old","left"
"137","right",1.1432,1,0.647,"stimuli/objects/spicerack.jpg","old","left"
"138","right",0.8689,2,0.7452,"stimuli/objects/peppermill02b.jpg","old","left"
"139","right",1.3977,4,0.6396,"stimuli/objects/bottlecap.jpg","old","left"
"140","right",1.1322,4,0.5712,"stimuli/objects/wafflemaker.jpg","new","right"
"141","left",2.0966,2,18.2478,"stimuli/objects/footballhelmet.jpg","new","right"
"142","right",1.5064,4,2.4645,"stimuli/objects/beermug01a.jpg","old","left"
"143","right",1.289,4,0.8203,"stimuli/objects/microphone01.jpg","new","right"
"144","right",0.9899,4,0.388,"stimuli/objects/airconditioner.jpg","new","right"
"145","left",1.8328,3,0.4079,"stimuli/objects/knife03.jpg","old","left"
"146","right",1.1202,2,0.3674,"stimuli/objects/faxmachine.jpg","old","left"
"147","left",1.3969,4,0.2367,"stimuli/objects/snowshovel.jpg","old","left"
"148","right",1.101,2,0.4205,"stimuli/objects/radio01.jpg","old","left"
"149","right",0.9237,2,0.3514,"stimuli/objects/shotglass.jpg","old","left"
"150","right",2.6565,2,0.5775,"stimuli/objects/fanblades.jpg","new","right"
"151","left",2.5263,3,1.1096,"stimuli/objects/fishingrod.jpg","new","right"
"152","left",3.4692,2,1.1342,"stimuli/objects/cookingpot.jpg","old","left"
"153","left",2.635,4,0.9009,"stimuli/objects/solderingiron.jpg","new","right"
"154","left",1.7803,3,1.0115,"stimuli/objects/swimgoggles.jpg","old","left"
"155","left",2.9171,3,1.3842,"stimuli/objects/phonejack.jpg","old","left"
"156","left",1.7057,2,0.7432,"stimuli/objects/taperecorder.jpg","old","left"
"157","right",1.3214,2,1.6285,"stimuli/objects/dvdcase01.jpg","new","right"
"158","right",3.6197,2,0.8865,"stimuli/objects/kitchenscale01a.jpg","old","left"
"159","left",1.2493,3,0.9373,"stimuli/objects/videocamera01a.jpg","old","left"
"160","right",5.224,1,3.9437,"stimuli/objects/wheelbarrow01.jpg","new","right"
"161","right",1.5503,2,0.4332,"stimuli/objects/smokedetector02.jpg","new","right"
"162","right",1.3285,2,0.2525,"stimuli/objects/caulking.jpg","old","left"
"163","right",0.8847,2,1.1921,"stimuli/objects/telephone01b.jpg","old","left"
"164","right",1.6908,2,0.4942,"stimuli/objects/pot01.jpg","old","left"
"165","left",1.2186,4,0.3186,"stimuli/objects/coffeemachine.jpg","old","left"
"166","right",1.1997,4,1.0942,"stimuli/objects/tableknife02.jpg","new","right"
"167","right",1.1605,1,27.5786,"stimuli/objects/boltcutter.jpg","old","left"
"168","left",1.9741,3,0.6206,"stimuli/objects/papershredder.jpg","new","right"
"169","right",0.8611,3,0.2035,"stimuli/objects/aluminiumfoil.jpg","new","right"
"170","right",3.0001,3,0.1351,"stimuli/objects/electricoutlet.jpg","old","left"
"171","left",1.0333,3,0.4703,"stimuli/objects/fonduefork01.jpg","old","left"
"172","left",0.949,4,0.4415,"stimuli/objects/shovel01.jpg","new","right"
"173","right",0.9817,4,5e-04,"stimuli/objects/ladder.jpg","new","right"
"174","right",0.8816,4,0.3258,"stimuli/objects/spatula03.jpg","old","left"
"175","left",1.248,4,0.2141,"stimuli/objects/expansioncard.jpg","old","left"
"176","right",1.3378,4,0.3337,"stimuli/objects/gps.jpg","old","left"
"177","right",1.5047,4,0.008,"stimuli/objects/icebucket.jpg","old","left"
"178","left",1.6806,4,0.1729,"stimuli/objects/golfbag.jpg","old","left"
"179","left",1.1384,3,0.2165,"stimuli/objects/cleaver01.jpg","old","left"
"180","right",0.9077,4,0.2554,"stimuli/objects/pastaspoon.jpg","old","left"
