"participant","Expra.Code","recog_resp.keys","recog_resp.rt","conf_resp.keys","conf_resp.rt","images","type","corr_ans"
13,917868,"right",1.066,4,0.3848,"stimuli/objects/wiicontroller.jpg","old","left"
13,917868,"right",1.0345,3,0.2103,"stimuli/objects/gravyboat.jpg","new","right"
13,917868,"left",1.2086,4,0.6692,"stimuli/objects/backpack01a.jpg","old","left"
13,917868,"left",1.2587,4,0.1737,"stimuli/objects/squeegee01b.jpg","old","left"
13,917868,"left",0.8338,4,0.1807,"stimuli/objects/camera01a.jpg","old","left"
13,917868,"right",0.9153,3,0.051,"stimuli/objects/lawnmower.jpg","old","left"
13,917868,"right",0.8612,3,1.0403,"stimuli/objects/cakeplatter.jpg","old","left"
13,917868,"left",0.9332,4,0.0338,"stimuli/objects/swimgoggles.jpg","old","left"
13,917868,"left",1.8911,2,8e-04,"stimuli/objects/minifridge.jpg","old","left"
13,917868,"right",0.9459,3,0.0483,"stimuli/objects/cork02.jpg","new","right"
13,917868,"right",3.0857,2,6e-04,"stimuli/objects/lectern01.jpg","old","left"
13,917868,"left",2.3518,4,0.0958,"stimuli/objects/cleaver01.jpg","old","left"
13,917868,"right",1.2714,2,0.0161,"stimuli/objects/styrofoamcup.jpg","new","right"
13,917868,"right",3.985,3,1.2337,"stimuli/objects/faxmachine.jpg","old","left"
13,917868,"right",0.9124,3,0.0061,"stimuli/objects/dishrack.jpg","old","left"
13,917868,"right",0.7619,2,0.3477,"stimuli/objects/swissarmyknife01a.jpg","old","left"
13,917868,"right",0.9156,2,0.3018,"stimuli/objects/measuringspoon.jpg","old","left"
13,917868,"right",1.5873,3,6e-04,"stimuli/objects/podium.jpg","old","left"
13,917868,"right",0.9944,2,0.5449,"stimuli/objects/butterdish.jpg","new","right"
13,917868,"right",0.8306,3,0.3515,"stimuli/objects/contactlens.jpg","new","right"
13,917868,"right",0.9131,3,0.3151,"stimuli/objects/icepack.jpg","old","left"
13,917868,"right",1.7165,2,0.2694,"stimuli/objects/telephone01b.jpg","old","left"
13,917868,"right",1.9864,4,0.0724,"stimuli/objects/knife03.jpg","old","left"
13,917868,"left",1.6784,2,0.0808,"stimuli/objects/studiolight.jpg","new","right"
13,917868,"right",0.9173,3,0.2571,"stimuli/objects/wheelbarrow01.jpg","new","right"
13,917868,"right",1.1641,3,5e-04,"stimuli/objects/outletadapter.jpg","new","right"
13,917868,"left",1.5219,2,0.0889,"stimuli/objects/remotecontrol04.jpg","old","left"
13,917868,"right",0.9394,4,0.0058,"stimuli/objects/floppydisk02a.jpg","new","right"
13,917868,"right",1.2949,3,0.3574,"stimuli/objects/canister.jpg","old","left"
13,917868,"right",1.4221,2,0.0738,"stimuli/objects/hockeypuck.jpg","new","right"
13,917868,"right",1.792,2,0.2707,"stimuli/objects/audiocablesplitter.jpg","old","left"
13,917868,"right",0.795,2,0.1481,"stimuli/objects/breadknife.jpg","old","left"
13,917868,"right",0.9928,2,0.1934,"stimuli/objects/corkscrew03a.jpg","new","right"
13,917868,"left",1.4538,3,1.6182,"stimuli/objects/servingspoon01.jpg","old","left"
13,917868,"right",1.0651,3,0.2993,"stimuli/objects/webcam.jpg","new","right"
13,917868,"right",0.9471,2,0.0951,"stimuli/objects/avcable.jpg","old","left"
13,917868,"right",1.1669,2,5e-04,"stimuli/objects/phonejack.jpg","old","left"
13,917868,"right",0.749,3,0.3317,"stimuli/objects/funnel.jpg","old","left"
13,917868,"right",0.8634,2,0.9783,"stimuli/objects/megaphone.jpg","new","right"
13,917868,"right",1.1724,3,0.3815,"stimuli/objects/espressomachine.jpg","new","right"
13,917868,"right",0.8926,2,0.1556,"stimuli/objects/filmroll.jpg","old","left"
13,917868,"left",1.0306,4,0.1774,"stimuli/objects/beachumbrella01.jpg","old","left"
13,917868,"right",4.483,2,0.3572,"stimuli/objects/wire.jpg","new","right"
13,917868,"right",1.2294,3,0.3716,"stimuli/objects/videocamera01a.jpg","old","left"
13,917868,"right",3.5351,2,0.447,"stimuli/objects/spatula04.jpg","old","left"
13,917868,"right",1.1042,2,0.6046,"stimuli/objects/battery02b.jpg","old","left"
13,917868,"right",2.6976,2,0.4198,"stimuli/objects/freezer02.jpg","old","left"
13,917868,"right",0.8611,2,0.4583,"stimuli/objects/powercable.jpg","old","left"
13,917868,"right",1.6629,4,0.4012,"stimuli/objects/hockeygoaliepad.jpg","new","right"
13,917868,"right",0.9657,2,0.7289,"stimuli/objects/spatula03.jpg","old","left"
13,917868,"left",1.5006,2,5e-04,"stimuli/objects/caulking.jpg","old","left"
13,917868,"left",1.1335,3,0.3766,"stimuli/objects/adjustablewrench01b.jpg","old","left"
13,917868,"left",1.6596,2,0.0274,"stimuli/objects/coffeemachine.jpg","old","left"
13,917868,"right",1.0309,2,0.5206,"stimuli/objects/crocodileclips.jpg","old","left"
13,917868,"left",1.2339,4,0.1477,"stimuli/objects/surfboard.jpg","old","left"
13,917868,"right",1.0811,2,0.5635,"stimuli/objects/speaker04.jpg","new","right"
13,917868,"right",1.1329,2,0.6733,"stimuli/objects/oven.jpg","old","left"
13,917868,"right",1.2485,1,0.458,"stimuli/objects/aluminiumfoil.jpg","new","right"
13,917868,"left",1.3003,3,0.2411,"stimuli/objects/kneepad01c.jpg","old","left"
13,917868,"left",0.9577,3,0.2217,"stimuli/objects/cuttingpliers02.jpg","old","left"
13,917868,"right",1.0737,3,1.5591,"stimuli/objects/antenna.jpg","new","right"
13,917868,"left",2.0152,3,0.3013,"stimuli/objects/tablesaw.jpg","old","left"
13,917868,"right",1.0747,3,0.2386,"stimuli/objects/gps.jpg","old","left"
13,917868,"right",0.9158,3,0.0399,"stimuli/objects/pitcher02b.jpg","old","left"
13,917868,"left",1.8901,2,0.2488,"stimuli/objects/shovel01.jpg","new","right"
13,917868,"right",0.792,3,0.887,"stimuli/objects/coffeepot03a.jpg","old","left"
13,917868,"right",1.4434,3,0.0343,"stimuli/objects/satellitedish01.jpg","new","right"
13,917868,"left",1.2947,2,0.4019,"stimuli/objects/cellphone.jpg","new","right"
13,917868,"right",0.9006,3,0.4824,"stimuli/objects/nintendods.jpg","old","left"
13,917868,"right",1.3106,2,6e-04,"stimuli/objects/bottleopener01.jpg","new","right"
13,917868,"right",1.2131,1,0.2383,"stimuli/objects/wafflemaker.jpg","new","right"
13,917868,"right",1.024,2,0.1701,"stimuli/objects/taperecorder.jpg","old","left"
13,917868,"right",1.1936,3,0.19,"stimuli/objects/wateringcan.jpg","old","left"
13,917868,"left",1.1476,2,0.1899,"stimuli/objects/electricoutlet.jpg","old","left"
13,917868,"right",0.7623,3,0.0817,"stimuli/objects/potatomasher03b.jpg","old","left"
13,917868,"left",1.1433,3,0.1806,"stimuli/objects/fonduefork01.jpg","old","left"
