illustration_loop.thisRepN,illustration_loop.thisTrialN,illustration_loop.thisN,illustration_loop.thisIndex,illustration_loop.ran,images,key,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,n_back_loop.thisRepN,n_back_loop.thisTrialN,n_back_loop.thisN,n_back_loop.thisIndex,n_back_loop.ran,word,CORRanswer,trialtype,hit_NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.7849000000357478],0,53,53,53,1,politeness,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",0,[0.8973999999761304],0,54,54,54,1,pity,d,1,Hit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.7323999999761668],0,55,55,55,1,beautiful,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.8758000000119068],0,56,56,56,1,street,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",0,[1.1008000000119296],0,57,57,57,1,beautiful,d,1,Hit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.8573999999761668],0,58,58,58,1,aroused,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.9501999999880582],0,59,59,59,1,demon,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",0,[0.701900000035721],0,60,60,60,1,aroused,d,1,Hit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.6714999999999804],0,61,61,61,1,cash,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[1.0185000000000173],0,62,62,62,1,immature,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.8664999999999736],0,63,63,63,1,cheer,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[0.8853000000119096],0,64,64,64,1,cheer,d,1,Hit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.7545000000000073],0,65,65,65,1,controlling,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.7181999999880873],0,66,66,66,1,messy,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.6802999999523536],0,67,67,67,1,cliff,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.8009000000357673],0,68,68,68,1,butterfly,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",0,[1.01190000003578],0,69,69,69,1,cliff,d,1,Hit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.5403000000119391],0,70,70,70,1,erotic,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.8172000000477055],0,71,71,71,1,vest,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.8721999999880836],0,72,72,72,1,dazzle,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.7873000000119532],0,73,73,73,1,disloyal,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",0,[0.6424000000357637],0,74,74,74,1,dazzle,d,1,Hit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.6555999999642381],0,75,75,75,1,defiant,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.8101000000238514],0,76,76,76,1,fault,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",0,[0.8658000000119159],0,77,77,77,1,defiant,d,1,Hit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.6776999999880786],0,78,78,78,1,shotgun,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.6439000000357282],0,79,79,79,1,revolt,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.7392000000476742],0,80,80,80,1,unhappy,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",0,[0.7752000000476755],0,81,81,81,1,revolt,d,1,Hit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.6576000000238764],0,82,82,82,1,car,l,0,NoHit
