instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,type,corr_ans,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,2.1137,1,6.1571,0,40,40,66,1,stimuli/objects/coffeemachine.jpg,old,left,67,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,4.2742,4,1.9231,0,41,41,75,1,stimuli/objects/shotglass.jpg,old,left,76,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.1534,4,1.4699,0,42,42,62,1,stimuli/objects/garlicpress02a.jpg,new,right,63,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.5721,4,0.3453,0,43,43,27,1,stimuli/objects/surfboard.jpg,old,left,28,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,2.098,4,2.6391,0,44,44,84,1,stimuli/objects/podium.jpg,old,left,85,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,3.4256,4,0.6599,0,45,45,54,1,stimuli/objects/lectern01.jpg,old,left,55,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,3.0632,4,1.2321,0,46,46,6,1,stimuli/objects/stovetop.jpg,new,right,7,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.2192,4,0.771,0,47,47,9,1,stimuli/objects/aluminiumfoil.jpg,new,right,10,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,3.3087,3,1.6047,0,48,48,69,1,stimuli/objects/scanner.jpg,old,left,70,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,3.581,3,1.2397,0,49,49,70,1,stimuli/objects/heatpump.jpg,old,left,71,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.9515,3,1.2655,0,50,50,23,1,stimuli/objects/dishrack.jpg,old,left,24,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,2.2182,4,1.6396,0,51,51,8,1,stimuli/objects/cameracase01a.jpg,old,left,9,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,2.1118,4,1.5428,0,52,52,72,1,stimuli/objects/cellphone.jpg,new,right,73,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.1303,1,4.4729,0,53,53,0,1,stimuli/objects/ipod.jpg,old,left,1,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.113,4,1.8422,0,54,54,80,1,stimuli/objects/ladder.jpg,new,right,81,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.5173,4,1.5414,0,55,55,68,1,stimuli/objects/bowl02a.jpg,old,left,69,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,2.4338,4,1.7131,0,56,56,37,1,stimuli/objects/electricoutlet.jpg,old,left,38,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.1703,4,0.7052,0,57,57,61,1,stimuli/objects/cork02.jpg,new,right,62,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,4.2404,3,1.8307,0,58,58,12,1,stimuli/objects/fanblades.jpg,new,right,13,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,5.4363,4,0.8246,0,59,59,53,1,stimuli/objects/tripod01.jpg,new,right,54,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,3.3214,4,2.5136,0,60,60,59,1,stimuli/objects/securitycamera.jpg,old,left,60,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,2.5546,4,1.3271,0,61,61,24,1,stimuli/objects/fuse.jpg,new,right,25,,,,,,,,
