illustration_loop.thisRepN,illustration_loop.thisTrialN,illustration_loop.thisN,illustration_loop.thisIndex,illustration_loop.ran,images,key,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,key_resp_4.keys,key_resp_4.corr,n_back_loop.thisRepN,n_back_loop.thisTrialN,n_back_loop.thisN,n_back_loop.thisIndex,n_back_loop.ran,word,CORRanswer,trialtype,hit_NoHit,key_resp_4.rt
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,48,48,48,1,bless,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,49,49,49,1,obesity,d,1,Hit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,50,50,50,1,pistol,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,51,51,51,1,bored,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,52,52,52,1,pity,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,53,53,53,1,politeness,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,54,54,54,1,pity,d,1,Hit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,55,55,55,1,beautiful,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,56,56,56,1,street,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,57,57,57,1,beautiful,d,1,Hit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,58,58,58,1,aroused,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,59,59,59,1,demon,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,60,60,60,1,aroused,d,1,Hit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,61,61,61,1,cash,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,62,62,62,1,immature,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,63,63,63,1,cheer,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,64,64,64,1,cheer,d,1,Hit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,65,65,65,1,controlling,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,66,66,66,1,messy,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,67,67,67,1,cliff,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,68,68,68,1,butterfly,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,69,69,69,1,cliff,d,1,Hit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,70,70,70,1,erotic,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,71,71,71,1,vest,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,72,72,72,1,dazzle,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,73,73,73,1,disloyal,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,74,74,74,1,dazzle,d,1,Hit,
