"type","character","left_categ","centleft_categ","centright_categ","right_categ","corr_ans","img","corr_ans_num","task_response.keys","task_response.corr","resp_cat","cumAcc","condition"
1,"stimuli/m_black.jpg","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","Outdoor activity & sport item","stimuli/objects/tennisball01b.jpg",4,1,0,"stimuli/Electronic device & accessory.png",0.333333333333333,1
1,"stimuli/m_black.jpg","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","Outdoor activity & sport item","stimuli/objects/umbrella04.jpg",3,3,1,"stimuli/Outdoor activity & sport item.png",0.36,1
1,"stimuli/m_orange.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","Hand labour tool & accessory","stimuli/objects/flashlight02b.jpg",1,2,0,"stimuli/Electronic device & accessory.png",0.346153846153846,0
1,"stimuli/m_orange.jpg","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","Hand labour tool & accessory","stimuli/objects/lock03a.jpg",2,3,0,"stimuli/Outdoor activity & sport item.png",0.333333333333333,0
1,"stimuli/m_orange.jpg","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory","stimuli/objects/sledgehammer.jpg",4,3,0,"stimuli/Kitchen & utensil.png",0.321428571428571,0
1,"stimuli/m_black.jpg","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","Outdoor activity & sport item","stimuli/objects/binoculars01b.jpg",2,2,1,"stimuli/Outdoor activity & sport item.png",0.344827586206897,1
1,"stimuli/m_black.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","Outdoor activity & sport item","stimuli/objects/weight01.jpg",1,1,1,"stimuli/Outdoor activity & sport item.png",0.366666666666667,1
1,"stimuli/m_black.jpg","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","Outdoor activity & sport item","stimuli/objects/bikelock.jpg",3,NA,0,NA,0.354838709677419,1
0,"stimuli/m_orange.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","Outdoor activity & sport item","stimuli/objects/frisbee.jpg",1,2,0,"stimuli/Kitchen & utensil.png",0.34375,0
0,"stimuli/m_black.jpg","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","Electronic device & accessory","stimuli/objects/monitor.jpg",1,4,0,"stimuli/Outdoor activity & sport item.png",0.333333333333333,1
1,"stimuli/m_orange.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","Hand labour tool & accessory","stimuli/objects/loppingshears.jpg",1,1,1,"stimuli/Hand labour tool & accessory.png",0.352941176470588,0
