"participant","Expra.Code","recog_resp.keys","recog_resp.rt","conf_resp.keys","conf_resp.rt","images","type","corr_ans"
14,NA,"right",1.0906,3,1.2444,"stimuli/objects/papershredder.jpg","new","right"
14,NA,"left",1.2102,3,1.6498,"stimuli/objects/minifridge.jpg","old","left"
14,NA,"right",1.3233,2,1.1045,"stimuli/objects/ethernetcable02.jpg","new","right"
14,NA,"right",1.732,4,0.1334,"stimuli/objects/antenna.jpg","new","right"
14,NA,"left",1.9739,1,0.687,"stimuli/objects/filmroll.jpg","old","left"
14,NA,"right",1.3417,2,0.4291,"stimuli/objects/funnel.jpg","old","left"
14,NA,"right",1.1218,4,0.239,"stimuli/objects/wateringcan.jpg","old","left"
14,NA,"right",0.7107,3,0.3031,"stimuli/objects/adjustablewrench01b.jpg","old","left"
14,NA,"right",1.1564,3,0.1669,"stimuli/objects/microwave.jpg","new","right"
14,NA,"left",1.176,1,0.0549,"stimuli/objects/pastaspoon.jpg","old","left"
14,NA,"right",1.864,3,0.2253,"stimuli/objects/muffintray01.jpg","old","left"
14,NA,"right",1.2028,3,0.3399,"stimuli/objects/peppermill02b.jpg","old","left"
14,NA,"right",0.9687,3,0.2382,"stimuli/objects/fridge.jpg","old","left"
14,NA,"right",0.7234,2,0.7268,"stimuli/objects/radio01.jpg","old","left"
14,NA,"right",0.6944,2,0.1588,"stimuli/objects/hourglass.jpg","new","right"
14,NA,"right",0.7005,3,0.182,"stimuli/objects/kneepad01c.jpg","old","left"
14,NA,"right",0.9086,3,0.1899,"stimuli/objects/toaster01.jpg","new","right"
14,NA,"right",0.5366,3,0.0504,"stimuli/objects/cuttingboard.jpg","old","left"
14,NA,"left",1.9726,1,0.0426,"stimuli/objects/fork03c.jpg","old","left"
14,NA,"left",2.7602,4,0.4063,"stimuli/objects/coffeemachine.jpg","old","left"
14,NA,"right",1.7981,3,0.2554,"stimuli/objects/wire.jpg","new","right"
14,NA,"left",1.6599,4,0.5638,"stimuli/objects/grill.jpg","old","left"
14,NA,"left",1.4756,4,0.1941,"stimuli/objects/umbrella04.jpg","old","left"
14,NA,"left",1.0807,4,0.0558,"stimuli/objects/ramekin01.jpg","old","left"
14,NA,"right",1.059,3,1.1186,"stimuli/objects/anchor.jpg","new","right"
14,NA,"right",1.0209,1,1.2835,"stimuli/objects/computerkeyboard02.jpg","old","left"
14,NA,"left",1.4089,4,0.9545,"stimuli/objects/saltshaker03a.jpg","old","left"
14,NA,"right",1.0921,3,0.2199,"stimuli/objects/blender.jpg","new","right"
14,NA,"right",0.8694,2,0.3935,"stimuli/objects/audiocablesplitter.jpg","old","left"
14,NA,"left",1.6984,4,0.2382,"stimuli/objects/spatula04.jpg","old","left"
14,NA,"right",1.2847,4,0.2183,"stimuli/objects/beachumbrella01.jpg","old","left"
14,NA,"right",0.7219,4,0.6211,"stimuli/objects/lightswitch01.jpg","old","left"
14,NA,"right",0.7352,4,0.3223,"stimuli/objects/djmixer02.jpg","old","left"
14,NA,"right",0.7283,3,0.1612,"stimuli/objects/telephone01b.jpg","old","left"
14,NA,"left",1.5796,3,0.0949,"stimuli/objects/fryingpan02a.jpg","old","left"
14,NA,"right",0.8576,4,0.2166,"stimuli/objects/fuse.jpg","new","right"
14,NA,"right",0.8296,4,4e-04,"stimuli/objects/corkscrew03a.jpg","new","right"
14,NA,"right",0.7219,4,4e-04,"stimuli/objects/freezer02.jpg","old","left"
14,NA,"left",1.7673,4,0.2511,"stimuli/objects/nintendods.jpg","old","left"
14,NA,"right",1.4673,2,1.0385,"stimuli/objects/cowbell.jpg","old","left"
14,NA,"right",0.8153,2,0.3246,"stimuli/objects/faxmachine.jpg","old","left"
14,NA,"left",2.6991,2,0.794,"stimuli/objects/martiniglass01b.jpg","old","left"
14,NA,"right",1.5803,3,0.4274,"stimuli/objects/walkman.jpg","old","left"
14,NA,"right",0.8572,3,0.2166,"stimuli/objects/thermos.jpg","new","right"
14,NA,"right",1.9604,2,0.2141,"stimuli/objects/ladder.jpg","new","right"
